guilt,dem,rep,,ind,age,educ,female,black,hispanic,income
NA,1,0,1,0,80,5,0,0,0,22500
1,1,0,1,0,73,5,0,0,0,22500
0,1,0,1,0,67,5,1,1,0,22500
1,0,0,0,0,31,5,0,0,0,22500
0,0,0,0,0,43,5,1,1,0,22500
1,1,0,1,0,76,5,0,0,0,22500
NA,0,0,0,0,34,5,0,0,0,22500
0,1,0,1,0,23,5,1,1,0,22500
1,1,0,1,0,69,5,0,0,0,22500
1,1,0,1,0,65,5,1,0,0,22500
1,0,0,0,0,28,5,0,0,0,22500
NA,1,0,1,0,80,5,1,1,0,22500
1,0,0,0,0,35,5,1,1,0,22500
0,1,0,1,0,37,5,0,0,0,22500
0,1,0,1,0,35,5,1,0,0,22500
1,1,0,1,0,49,5,1,1,0,22500
1,1,0,1,0,71,5,0,0,0,22500
0,0,0,0,0,50,5,1,1,0,22500
1,0,1,1,0,52,12,1,0,0,22500
1,0,1,1,0,75,12,1,0,0,22500
1,0,1,1,0,26,12,1,0,0,22500
1,0,1,1,0,25,12,0,0,0,22500
0,0,1,1,0,29,12,1,0,0,22500
NA,0,1,1,0,42,12,1,0,0,22500
1,0,1,1,0,74,12,1,0,0,22500
1,0,1,1,0,64,12,1,0,0,22500
0,0,1,1,0,36,12,0,0,0,22500
1,0,1,1,0,26,12,1,0,0,22500
1,0,1,1,0,32,12,0,0,0,22500
1,0,1,1,0,40,12,1,0,0,22500
1,0,1,1,0,32,12,1,0,0,22500
1,0,1,1,0,72,12,0,0,0,22500
NA,0,1,1,0,67,12,1,0,0,22500
0,0,1,1,0,48,12,1,1,0,22500
1,0,1,1,0,23,12,0,0,1,22500
0,0,1,1,0,19,12,1,0,0,22500
1,0,1,1,0,38,12,1,0,0,22500
0,0,1,1,0,79,12,1,0,0,22500
1,0,1,1,0,24,12,1,0,0,22500
0,0,1,1,0,26,12,1,1,0,22500
1,0,1,1,0,42,12,1,0,0,22500
NA,0,1,1,0,25,12,1,0,0,22500
1,0,1,1,0,23,12,1,0,0,22500
1,0,1,1,0,21,12,1,1,0,22500
0,0,1,1,0,23,12,0,0,0,22500
0,0,1,1,0,20,12,0,0,0,22500
1,0,1,1,0,63,12,0,0,0,22500
NA,0,1,1,0,71,12,1,0,0,22500
1,0,1,1,0,57,12,1,0,0,22500
0,0,1,1,0,68,12,1,0,0,22500
1,0,1,1,0,37,12,0,0,0,22500
1,0,1,1,0,78,12,0,0,0,22500
1,0,1,1,0,58,12,0,0,0,22500
1,0,1,1,0,18,12,0,0,1,22500
1,0,1,1,0,22,12,1,0,0,22500
NA,0,1,1,0,69,12,0,0,0,22500
1,0,1,1,0,67,12,1,0,0,22500
0,0,1,1,0,18,12,1,1,0,22500
1,0,1,1,0,85,12,0,0,0,22500
0,0,1,1,0,42,12,0,1,0,22500
1,0,1,1,0,41,12,1,1,1,22500
NA,0,1,1,0,26,12,0,0,0,22500
1,0,1,1,0,40,12,0,0,0,22500
1,0,1,1,0,68,12,1,0,0,22500
0,0,1,1,0,30,12,1,0,1,22500
0,0,1,1,0,36,12,0,0,0,22500
1,0,1,1,0,21,12,0,0,0,22500
NA,0,1,1,0,60,12,1,0,0,22500
1,0,1,1,0,31,12,0,0,1,22500
1,0,1,1,0,53,12,1,0,0,22500
NA,0,1,1,0,46,12,0,0,1,22500
1,0,1,1,0,79,12,0,0,0,22500
1,0,1,1,0,35,12,0,0,0,22500
1,0,1,1,0,39,12,0,0,0,22500
1,0,1,1,0,27,12,0,0,0,22500
NA,0,1,1,0,37,12,0,0,0,22500
0,1,0,1,0,49,12,1,1,0,22500
0,1,0,1,0,20,12,1,1,0,22500
