feminist,female,age,educ,income,dem,rep
50,0,29,12,6,1,0
50,1,28,12,4,0,1
50,0,55,12,17,0,1
85,0,31,12,2,1,0
50,1,38,16,18,1,0
60,1,49,12,15,0,0
50,0,63,9,15,1,0
50,0,21,13,4,0,0
50,1,74,11,3,1,0
85,0,38,11,19,0,0
50,0,24,13,12,0,0
50,0,19,12,13,0,0
0,0,27,13,14,1,0
50,0,37,12,1,1,0
50,1,19,13,2,0,0
50,0,50,16,25,0,1
50,0,34,17,24,1,0
50,0,43,11,9,0,0
100,1,47,6,1,1,0
50,1,35,12,6,1,0
70,1,22,12,1,0,1
60,1,43,12,3,0,0
85,1,28,12,11,0,0
50,1,27,12,5,0,0
50,1,21,10,7,0,0
85,1,20,13,4,0,0
100,0,37,16,7,0,1
50,1,26,13,11,0,0
100,0,67,14,3,1,0
50,0,52,14,18,1,0
50,0,38,14,16,0,0
70,0,70,1,4,0,0
70,1,36,12,10,1,0
50,1,24,13,11,1,0
75,1,61,13,13,1,0
40,1,34,11,1,0,1
100,1,58,12,13,1,0
60,1,22,12,4,0,0
60,1,84,16,12,0,0
70,0,57,15,14,1,0
100,1,27,13,7,1,0
100,1,20,14,1,0,0
0,1,33,11,3,1,0
40,0,40,12,5,0,0
60,1,20,12,3,0,0
50,0,34,12,14,0,0
40,0,36,12,11,0,0
70,1,37,14,12,0,1
70,1,55,12,12,0,0
30,1,44,14,4,1,0
40,0,50,6,12,1,0
40,1,52,12,7,0,0
85,1,62,12,7,1,0
50,0,50,12,15,0,1
100,1,26,17,19,1,0
60,1,20,12,7,0,1
50,1,65,12,7,1,0
70,1,46,12,6,0,0
70,1,53,17,11,1,0
50,1,20,14,3,0,0
85,1,36,13,17,1,0
100,1,66,9,1,0,0
85,1,21,13,6,1,0
60,1,63,4,2,0,0
100,1,80,12,4,0,0
70,0,42,14,9,0,0
50,0,21,15,2,0,1
50,0,41,13,1,0,0
50,0,41,14,14,1,0
85,0,32,14,18,0,1
60,1,18,12,1,0,0
100,1,44,12,1,1,0
50,0,38,12,25,0,1
50,1,18,12,3,0,0
100,1,32,10,7,0,0
50,1,42,13,1,1,0
50,0,31,12,14,1,0
30,0,79,9,7,1,0
50,0,64,8,4,1,0
50,1,22,10,10,0,0
70,1,34,12,13,0,0
70,0,87,8,1,0,1
50,1,55,11,8,1,0
70,1,60,11,12,0,0
70,1,32,14,18,0,1
60,1,44,6,7,0,0
50,1,34,13,1,0,0
100,1,22,9,1,0,0
50,0,61,13,9,0,0
50,1,35,12,18,0,1
50,1,46,13,10,0,0
50,1,27,15,9,0,0
70,1,39,9,1,0,0
70,1,51,12,1,0,0
50,0,23,14,11,0,0
50,0,40,11,10,0,0
50,0,48,10,5,0,0
60,0,23,12,14,0,1
85,1,35,12,1,0,0
70,1,31,12,1,0,0
70,0,24,14,18,0,0
50,1,82,12,7,1,0
50,1,22,12,10,1,0
50,0,44,12,12,0,0
85,0,50,12,6,0,0
30,0,43,12,1,1,0
50,0,62,13,10,1,0
30,1,27,13,7,1,0
50,0,68,12,9,0,0
60,0,57,13,1,1,0
50,1,23,8,1,0,0
50,1,73,12,13,0,0
2,1,26,12,4,1,0
70,1,53,14,4,0,0
50,1,66,12,9,0,0
50,1,48,13,13,1,0
85,1,23,14,8,0,0
50,0,66,12,5,1,0
60,0,49,14,14,1,0
50,1,39,11,5,0,0
70,1,77,7,3,1,0
50,0,26,12,3,0,0
0,1,35,13,13,1,0
50,0,34,12,10,0,0
85,1,21,12,5,1,0
0,0,25,12,13,0,0
50,0,46,9,17,1,0
100,1,65,12,7,1,0
50,1,18,12,2,0,0
70,1,46,14,18,0,0
40,0,21,11,6,0,0
50,1,37,12,2,0,0
50,1,38,13,6,0,1
50,0,73,3,11,0,0
50,0,38,15,13,0,1
70,0,21,12,1,1,0
70,0,53,14,12,0,0
50,0,30,12,14,0,0
100,1,25,17,14,0,0
30,0,25,12,2,1,0
70,0,26,13,8,1,0
70,0,50,12,11,0,0
50,1,60,12,4,1,0
85,0,21,13,11,0,1
70,1,30,12,11,1,0
50,1,49,13,4,0,0
50,0,47,12,13,0,0
40,1,23,12,17,0,0
40,0,22,12,14,1,0
70,1,41,12,11,0,0
50,0,53,12,4,1,0
50,0,49,14,17,0,0
50,0,37,12,11,0,0
50,0,29,11,12,0,0
100,1,49,12,11,1,0
30,1,38,12,7,1,0
50,0,43,13,13,0,0
0,0,33,12,14,1,0
50,0,35,11,1,0,0
50,1,33,14,15,0,1
60,1,42,10,2,1,0
0,1,64,10,3,1,0
50,1,20,9,4,0,0
40,1,45,12,1,0,0
70,1,19,13,8,0,1
40,0,54,11,7,0,0
50,0,33,11,11,0,0
50,1,32,12,1,0,0
50,1,60,12,1,0,0
50,0,54,13,12,0,1
50,1,34,12,9,1,0
50,0,19,12,2,1,0
50,1,33,13,11,1,0
100,1,68,8,13,0,0
100,1,23,12,4,0,0
50,1,29,12,1,0,1
100,1,43,6,5,0,0
85,1,22,11,1,0,0
15,0,36,13,20,0,1
70,0,35,11,1,0,0
50,1,86,12,4,0,0
60,1,35,13,10,1,0
50,1,48,11,4,1,0
100,0,26,9,6,1,0
45,0,36,12,7,1,0
70,0,59,12,4,0,0
60,1,52,12,1,1,0
70,1,28,14,15,0,0
50,0,45,9,7,0,0
60,1,41,12,1,1,0
70,0,27,16,13,0,0
85,1,64,11,3,1,0
50,1,18,12,1,0,1
100,1,21,15,3,1,0
50,0,31,12,7,1,0
50,0,35,12,9,0,0
40,0,35,14,11,0,0
50,0,28,11,20,0,0
50,1,27,13,3,0,0
70,0,29,14,13,0,0
50,0,43,12,17,0,0
85,1,26,13,1,1,0
50,1,37,14,3,0,0
60,0,44,14,7,0,0
60,1,57,10,2,0,0
70,1,37,12,12,0,0
40,0,26,15,12,0,0
85,1,62,12,1,1,0
60,1,26,13,14,0,0
50,0,37,12,16,0,0
80,1,58,4,9,0,1
50,0,53,12,11,0,0
60,1,40,12,1,0,0
40,1,76,2,7,0,0
50,1,21,12,4,1,0
100,1,20,12,1,1,0
50,0,18,9,1,0,1
50,1,56,12,5,0,0
70,0,49,12,1,0,1
20,0,21,10,1,0,0
50,1,18,12,1,0,0
50,0,26,13,1,0,0
60,0,50,10,8,0,0
70,0,35,12,7,0,0
50,0,19,7,1,0,0
50,0,56,11,13,0,0
85,1,19,12,4,0,1
50,1,22,12,8,0,0
50,1,42,12,13,0,0
50,1,25,12,3,0,0
60,1,55,11,3,0,1
50,0,33,13,17,0,0
60,0,18,10,9,0,0
50,1,73,6,4,1,0
50,1,19,13,2,1,0
40,1,48,11,1,0,0
85,0,28,12,13,0,0
40,0,40,11,14,0,0
60,1,23,16,3,0,1
50,0,30,12,8,0,0
60,1,53,13,10,1,0
30,0,56,9,7,0,0
40,0,18,12,3,1,0
70,0,31,14,13,0,0
50,0,44,12,16,1,0
40,0,33,17,24,0,0
50,1,52,14,9,1,0
15,0,26,13,13,0,0
50,1,23,12,8,1,0
100,1,54,11,1,1,0
70,0,63,9,4,0,0
85,1,34,14,13,1,0
50,0,82,9,4,1,0
50,0,20,12,10,0,0
70,1,24,11,1,1,0
85,1,26,12,9,1,0
50,1,58,12,7,0,0
50,0,33,16,21,0,1
70,0,56,11,8,0,0
100,0,24,12,1,0,0
85,0,19,14,3,1,0
85,0,20,12,8,1,0
50,0,18,11,1,0,0
40,0,51,14,17,0,0
50,0,34,10,1,1,0
70,1,52,12,18,1,0
50,0,58,14,18,0,0
50,1,33,13,10,1,0
100,1,19,11,3,1,0
50,1,49,12,1,1,0
50,1,19,12,1,0,0
50,1,54,6,1,1,0
60,1,32,17,20,0,0
50,0,53,9,5,0,0
50,0,33,12,13,0,0
85,0,40,16,12,1,0
50,0,46,17,16,0,0
80,0,30,15,11,1,0
85,1,34,13,14,1,0
70,1,31,17,4,0,1
70,1,30,12,3,1,0
40,1,19,11,2,0,0
50,0,61,9,4,1,0
70,1,55,12,8,1,0
60,1,32,12,15,0,0
60,1,20,12,2,0,0
100,1,31,9,3,1,0
50,0,60,12,7,1,0
85,1,29,11,3,1,0
40,0,22,11,11,0,0
0,0,30,14,22,0,0
50,0,54,12,4,0,0
60,0,40,12,11,0,0
50,0,30,12,13,0,0
60,0,39,10,2,0,0
50,0,30,12,2,0,0
50,0,21,15,2,1,0
60,1,48,12,9,1,0
70,1,53,12,11,1,0
100,1,28,12,8,0,0
40,1,50,12,3,1,0
85,1,30,12,2,0,1
50,1,46,14,12,1,0
60,1,50,11,1,0,0
30,1,38,14,11,0,0
50,0,48,12,3,1,0
50,0,32,12,14,0,0
30,0,42,12,19,1,0
0,1,21,12,4,0,0
100,0,37,12,5,0,0
50,0,33,8,1,0,0
70,1,47,14,15,1,0
60,1,37,14,17,0,0
50,1,26,10,1,0,0
85,0,38,10,7,0,0
40,0,21,14,3,0,1
85,1,27,14,3,1,0
50,0,45,11,4,0,1
50,0,57,13,5,0,0
85,0,26,11,6,0,0
60,0,26,11,1,0,0
50,0,20,13,5,0,1
50,0,32,16,15,0,0
50,1,23,12,1,0,0
0,0,60,16,18,0,0
70,0,53,11,12,1,0
100,1,51,14,4,0,0
30,0,53,17,16,1,0
70,1,45,14,1,0,0
85,1,26,12,5,0,0
50,0,25,12,13,1,0
40,0,59,13,13,0,0
50,0,31,10,10,0,0
70,0,57,8,3,0,0
30,1,42,12,11,0,0
0,0,42,17,14,1,0
60,1,19,11,9,0,0
50,1,68,12,16,1,0
70,1,39,14,8,0,0
100,0,38,12,15,0,0
85,1,30,12,1,1,0
50,1,36,14,4,0,0
50,0,35,12,10,0,0
30,0,41,16,25,0,1
50,0,21,13,6,0,0
60,0,81,9,6,1,0
50,1,39,16,15,0,0
100,1,48,13,8,1,0
40,1,19,13,1,0,0
57,0,55,12,13,1,0
15,0,68,12,7,0,0
60,0,40,5,4,0,0
50,0,57,13,1,0,0
100,1,52,13,7,1,0
50,0,67,12,11,1,0
90,1,61,11,1,1,0
85,1,26,12,1,1,0
30,0,28,16,15,0,0
30,1,49,14,18,0,0
50,0,19,12,2,0,0
60,1,24,11,1,0,0
50,1,65,15,14,0,0
40,1,67,16,7,0,0
30,0,60,14,12,1,0
50,0,36,12,10,0,0
50,1,28,12,13,1,0
40,1,30,11,1,0,0
40,0,22,12,14,0,1
60,1,49,14,9,0,0
40,1,23,12,14,0,0
85,1,23,15,13,0,0
50,1,20,12,1,0,0
70,0,65,10,2,0,0
40,1,48,10,1,0,0
50,1,42,16,2,0,0
70,1,20,13,1,1,0
85,1,23,16,3,1,0
50,0,18,12,2,0,1
75,0,54,12,9,0,0
70,1,32,15,13,0,0
50,1,44,12,2,0,0
40,0,30,12,4,0,0
60,0,36,12,17,1,0
80,0,34,16,14,1,0
50,0,43,12,1,1,0
70,1,51,14,5,1,0
50,0,58,17,8,1,0
15,0,45,15,23,0,0
60,1,18,13,1,1,0
50,0,38,12,9,0,0
30,1,42,16,5,0,1
30,1,20,12,2,0,1
40,1,36,14,23,0,0
50,1,21,14,1,1,0
50,1,63,12,25,0,0
50,1,40,12,1,0,0
85,1,55,12,1,0,0
85,1,34,17,8,1,0
100,1,69,10,6,1,0
85,0,60,12,12,1,0
50,1,31,12,16,0,0
50,1,49,15,18,0,1
70,1,55,11,1,1,0
50,1,58,15,17,1,0
50,0,41,17,15,0,1
30,1,62,17,13,0,1
100,1,42,16,6,1,0
40,1,57,13,9,0,1
70,0,87,12,12,1,0
70,0,59,12,10,1,0
40,1,29,17,18,0,1
50,0,53,17,10,0,1
100,1,40,12,12,1,0
50,1,40,9,4,0,0
50,0,41,14,12,0,1
60,0,88,11,10,1,0
50,0,44,16,1,1,0
60,1,54,13,4,0,0
50,1,52,14,13,1,0
70,1,49,14,14,0,0
85,1,68,17,18,0,0
60,1,75,9,8,1,0
100,0,58,12,10,1,0
50,0,48,15,13,0,0
25,1,81,12,9,0,1
50,1,85,17,12,0,1
60,0,57,15,21,0,1
70,1,64,15,6,1,0
85,0,47,11,14,1,0
60,1,28,12,3,0,0
60,1,25,12,12,1,0
50,0,37,16,25,0,1
50,0,45,16,14,0,0
85,1,53,12,5,1,0
50,1,39,16,13,0,1
85,1,83,16,10,1,0
65,1,91,12,15,1,0
50,0,36,16,7,0,0
50,0,32,14,12,0,0
75,0,62,13,3,1,0
100,1,38,14,1,1,0
40,1,58,16,1,0,0
50,0,45,13,18,1,0
100,0,31,16,17,1,0
100,0,63,17,17,0,0
85,1,63,14,12,0,0
70,1,56,14,13,1,0
60,0,49,12,17,0,0
60,1,49,17,19,0,0
0,1,51,16,15,0,1
50,0,80,16,18,0,0
85,0,81,15,8,1,0
70,1,42,14,9,1,0
0,0,50,12,12,1,0
50,1,32,12,8,1,0
30,0,36,16,19,0,1
70,1,62,13,17,1,0
0,0,50,17,25,0,1
85,1,28,17,3,1,0
50,1,32,14,4,1,0
85,1,39,17,10,0,1
30,1,36,12,11,0,1
50,0,37,12,14,0,0
40,0,76,16,21,0,1
80,0,60,17,18,0,0
50,0,67,12,14,0,0
40,0,69,17,18,0,1
85,1,26,17,13,1,0
60,0,55,14,25,1,0
70,0,57,12,12,0,0
40,0,48,15,16,1,0
40,1,49,15,13,0,1
50,0,50,16,23,0,1
40,0,32,12,20,0,1
15,1,31,14,17,0,0
30,0,53,15,19,0,1
45,1,55,15,20,0,1
50,1,45,14,5,1,0
70,1,38,13,11,1,0
55,0,78,12,19,0,1
70,1,44,14,7,1,0
70,0,70,13,15,0,0
40,1,46,17,8,0,1
70,1,52,12,15,1,0
85,1,45,14,11,0,1
60,1,47,15,18,0,1
50,1,57,13,12,1,0
50,0,39,16,20,0,1
15,0,24,16,17,1,0
50,0,72,14,12,0,0
45,1,37,16,1,1,0
5,1,79,14,8,0,0
70,1,46,11,11,0,0
60,1,81,11,2,0,1
60,1,53,16,5,1,0
70,1,31,12,11,1,0
40,1,52,14,13,0,1
85,1,41,14,16,0,0
85,0,35,14,8,1,0
50,0,78,17,11,0,1
50,0,32,14,19,0,1
15,1,48,14,15,0,1
30,1,68,8,11,0,1
60,0,47,13,14,0,1
30,0,25,13,9,1,0
100,1,50,13,8,0,0
60,1,59,12,10,0,0
70,0,66,13,25,0,1
50,1,56,12,12,1,0
20,0,50,12,3,0,1
60,1,34,16,14,0,1
50,1,40,14,14,0,1
85,1,91,13,9,0,1
100,1,46,16,4,1,0
50,1,43,17,11,1,0
100,0,48,16,13,1,0
40,0,47,17,22,0,1
30,0,47,16,22,0,1
30,1,40,16,7,0,1
85,1,31,13,8,1,0
85,1,28,17,6,1,0
60,1,59,12,5,0,0
40,0,50,14,13,0,1
40,1,36,12,12,0,1
85,1,58,17,13,1,0
60,1,35,17,22,0,1
0,1,52,9,4,0,0
40,0,46,16,25,0,1
50,0,51,16,16,0,0
100,1,28,15,12,0,0
50,0,71,16,8,0,0
70,0,64,8,9,0,1
50,1,76,17,11,1,0
40,0,59,16,13,1,0
50,1,65,14,6,1,0
50,1,76,10,10,1,0
50,1,58,17,19,1,0
50,1,56,15,10,0,0
100,1,46,14,9,0,0
85,1,64,15,9,1,0
85,1,51,17,13,1,0
50,1,50,14,9,0,0
15,0,64,12,15,0,1
50,1,48,16,16,1,0
60,1,32,12,1,0,0
85,1,53,14,4,1,0
70,1,53,11,10,1,0
15,1,56,16,17,0,0
75,1,32,16,14,1,0
50,1,39,17,19,1,0
60,1,62,16,13,1,0
60,1,38,16,19,1,0
50,0,45,12,6,1,0
40,1,29,13,2,1,0
70,0,63,12,12,0,1
60,1,50,16,16,1,0
100,0,23,16,1,0,0
85,0,50,17,1,1,0
100,0,41,12,17,0,0
60,0,53,16,22,1,0
50,1,57,17,19,0,1
85,1,46,17,13,1,0
40,1,64,12,1,0,0
0,1,66,11,5,1,0
60,0,42,17,17,1,0
60,0,55,14,20,0,0
50,1,31,16,19,0,1
50,1,76,17,6,1,0
60,1,67,8,3,1,0
70,1,57,15,1,1,0
40,0,60,17,25,0,1
70,0,48,14,4,1,0
60,1,65,16,14,1,0
50,0,36,12,7,0,0
70,0,64,17,3,1,0
85,0,67,16,18,1,0
100,0,42,15,24,0,1
50,1,48,12,9,1,0
70,1,68,15,6,1,0
70,0,33,16,20,0,0
60,1,47,13,18,1,0
40,0,70,17,18,0,1
70,1,59,5,13,1,0
85,0,86,16,12,1,0
85,1,29,12,14,1,0
70,1,71,16,16,1,0
40,1,45,12,1,0,0
50,1,37,17,16,1,0
50,1,39,13,8,0,0
60,1,53,12,16,0,0
50,0,34,17,14,0,0
30,0,25,17,14,0,1
100,1,56,12,4,1,0
70,0,61,16,5,1,0
60,1,32,14,1,1,0
60,1,55,16,17,1,0
50,1,69,12,16,0,0
70,1,41,13,9,1,0
100,1,24,14,4,0,0
50,1,69,13,10,1,0
85,1,30,17,16,1,0
0,0,46,13,14,0,1
70,0,55,12,10,1,0
60,1,59,17,5,0,0
0,1,41,14,17,0,1
100,0,79,12,10,1,0
50,0,45,12,15,0,1
40,0,46,13,18,0,0
60,1,45,12,1,1,0
70,1,34,12,14,0,1
70,1,60,16,17,0,0
30,0,25,13,11,0,0
0,1,73,16,16,0,1
15,1,55,16,16,0,0
50,1,79,13,7,0,0
60,0,43,14,15,1,0
60,1,28,12,6,0,1
85,1,52,12,13,0,1
60,1,38,16,19,0,0
50,1,33,12,9,0,0
100,0,37,16,17,1,0
50,0,33,16,15,0,0
50,1,46,11,11,0,0
50,1,54,12,5,0,0
30,0,57,14,22,0,1
15,0,51,12,17,1,0
50,1,60,12,20,0,1
30,0,46,14,17,1,0
40,1,32,17,6,1,0
50,0,51,16,19,0,1
50,1,44,17,13,0,1
85,1,63,11,15,1,0
60,1,48,15,13,0,1
75,0,44,14,25,0,1
50,1,61,17,15,0,1
50,1,47,13,1,0,1
100,1,28,15,1,1,0
85,1,42,16,15,1,0
50,1,41,12,11,1,0
70,0,57,17,21,0,1
100,1,24,14,14,0,0
50,0,33,14,17,0,0
60,0,48,12,13,1,0
85,0,27,17,7,0,0
85,1,48,14,15,1,0
60,0,49,12,17,0,1
50,1,54,14,1,0,1
50,0,35,14,14,0,1
50,0,71,11,11,1,0
85,0,59,17,17,1,0
40,1,64,9,3,0,1
85,0,55,17,18,1,0
70,1,28,14,10,0,1
40,1,36,14,8,0,0
60,0,68,5,3,0,0
100,0,37,14,9,0,0
60,1,41,16,18,0,1
15,0,35,14,8,0,0
85,0,31,14,13,1,0
50,0,72,16,19,0,1
85,1,78,6,12,1,0
50,0,50,12,12,1,0
85,0,58,14,17,0,1
30,0,61,12,16,0,0
50,1,56,16,4,0,0
50,0,48,13,14,1,0
50,1,31,14,1,1,0
30,0,78,17,17,0,0
70,0,43,12,15,1,0
55,0,71,17,19,0,1
85,0,82,12,8,1,0
70,1,66,17,18,1,0
50,0,49,16,16,1,0
40,0,31,16,19,0,1
85,1,40,17,4,0,1
60,0,93,12,12,0,1
85,1,54,13,4,1,0
50,1,23,12,7,0,0
50,0,37,12,18,0,0
70,1,47,14,13,0,0
50,0,86,12,14,1,0
50,0,60,14,21,0,1
60,0,25,14,12,0,0
60,1,51,16,3,1,0
85,1,48,13,9,1,0
50,0,69,16,18,0,1
70,1,29,16,17,1,0
85,0,46,12,14,0,0
50,0,32,14,12,0,0
50,1,57,14,1,0,1
50,0,44,16,18,0,1
70,1,42,17,15,0,1
50,1,59,12,10,1,0
50,0,64,17,11,1,0
85,0,88,13,16,1,0
100,0,54,9,12,1,0
50,1,56,12,17,1,0
50,1,23,14,9,0,0
60,0,26,14,13,0,0
50,1,47,14,9,1,0
60,1,53,12,16,0,1
50,1,66,17,3,0,0
50,0,42,12,18,1,0
50,1,48,14,16,0,1
70,1,52,12,13,1,0
40,0,31,16,16,0,1
0,1,62,11,7,0,0
70,0,79,17,17,0,0
25,1,26,16,17,0,1
85,1,28,17,11,1,0
85,0,55,12,11,1,0
50,1,69,13,7,0,1
85,0,45,16,16,0,0
70,1,44,17,8,0,0
50,1,59,14,3,1,0
50,1,55,12,17,1,0
40,0,70,12,14,0,1
30,1,54,13,13,0,0
100,1,61,13,1,1,0
85,1,40,16,1,1,0
85,1,41,10,14,1,0
60,0,43,16,8,1,0
60,0,59,16,10,0,1
50,1,82,13,5,0,1
70,1,51,17,17,1,0
40,0,51,6,13,1,0
70,1,33,13,1,1,0
70,1,79,15,16,0,1
100,1,47,13,11,1,0
85,1,40,12,9,1,0
85,1,78,15,6,0,0
50,1,38,12,16,1,0
15,1,66,14,15,0,1
15,0,27,16,16,0,1
